Season,Date,Team,Opponent,Is_Home,Game_Number_Team,Game_Number_Opp,Team_ORtg_avg,Team_DRtg_avg,Team_NetRtg_avg,Team_Pace_avg,Team_WinPct_avg,Team_eFG%_avg,Team_TOV%_avg,Team_ORB%_avg,Team_FT/FGA_avg,Team_TS%_avg,Team_TRB%_avg,Team_AST%_avg,Team_STL%_avg,Team_BLK%_avg,Team_NetRtg_last5,Team_NetRtg_last10,Team_WinPct_last5,Team_WinPct_last10,Team_Points_For_avg,Team_Points_Against_avg,Team_Current_Win_Streak,Team_Current_Loss_Streak,Team_Home_WinPct,Team_Away_WinPct,Team_Days_Rest,Team_Is_BackToBack,Opp_ORtg_avg,Opp_DRtg_avg,Opp_NetRtg_avg,Opp_Pace_avg,Opp_WinPct_avg,Opp_eFG%_avg,Opp_TOV%_avg,Opp_ORB%_avg,Opp_FT/FGA_avg,Opp_TS%_avg,Opp_TRB%_avg,Opp_AST%_avg,Opp_STL%_avg,Opp_BLK%_avg,Opp_NetRtg_last5,Opp_NetRtg_last10,Opp_WinPct_last5,Opp_WinPct_last10,Opp_Points_For_avg,Opp_Points_Against_avg,Opp_Current_Win_Streak,Opp_Current_Loss_Streak,Opp_Home_WinPct,Opp_Away_WinPct,Opp_Days_Rest,Opp_Is_BackToBack,Team_Score,Opp_Score,Result,OT,NetRtg_Diff,ORtg_Diff,DRtg_Diff,WinPct_Diff,NetRtg_Diff_last5,WinPct_Diff_last5,NetRtg_Diff_last10,WinPct_Diff_last10,eFG%_Diff,TOV%_Diff,ORB%_Diff,FT/FGA_Diff,Pace_Diff,Rest_Advantage,Win_Streak_Diff
2015-16,2015-10-29,ATL,NYK,0,2,2,98.6,111.2,-12.6,95.3,0.0,0.5,14.5,16.3,0.15,0.53,40.4,59.5,9.4,6.0,-12.6,-12.6,0.0,0.0,94.0,106.0,0,1,,0.0,2,0,128.2,101.9,26.3,95.2,1.0,0.5,9.2,39.6,0.31,0.56,51.0,57.1,11.6,10.3,26.3,26.3,1.0,1.0,122.0,97.0,1,0,0.0,,1,0,112,101,1,0,-38.9,-29.6,9.3,-1.0,-38.9,-1.0,-38.9,-1.0,0.0,5.3,-23.3,-0.16,0.1,1,-1
2015-16,2015-10-29,DAL,LAC,0,2,2,108.9,93.2,15.7,102.0,1.0,0.53,7.5,13.0,0.25,0.56,47.5,60.0,6.9,4.8,15.7,15.7,1.0,1.0,111.0,95.0,1,0,,1.0,1,0,107.4,100.6,6.8,103.4,1.0,0.56,13.8,14.0,0.26,0.59,46.2,47.6,7.7,12.9,6.8,6.8,1.0,1.0,111.0,104.0,1,0,0.0,,1,0,88,104,0,0,8.9,1.5,-7.4,0.0,8.9,0.0,8.9,0.0,-0.03,-6.3,-1.0,-0.01,-1.4,0,0
2015-16,2015-10-29,IND,MEM,1,2,2,95.1,101.8,-6.7,104.1,0.0,0.42,11.5,16.3,0.3,0.5,44.4,71.9,13.4,4.8,-6.7,-6.7,0.0,0.0,99.0,106.0,0,1,0.0,,1,0,79.4,110.8,-31.4,95.7,0.0,0.37,14.9,20.8,0.2,0.41,42.6,51.7,8.4,5.5,-31.4,-31.4,0.0,0.0,76.0,106.0,0,1,,0.0,1,0,103,112,0,0,24.7,15.7,-9.0,0.0,24.7,0.0,24.7,0.0,0.05,-3.4,-4.5,0.1,8.4,0,0
2015-16,2015-10-30,ATL,CHA,1,3,2,104.1,105.05,-0.95,98.75,0.5,0.53,14.5,17.1,0.18,0.56,42.6,60.7,10.1,6.15,-0.95,-0.95,0.5,0.5,103.0,103.5,1,0,0.0,,1,0,101.8,112.6,-10.8,92.3,0.0,0.43,8.5,22.0,0.26,0.49,51.2,48.5,4.3,1.9,-10.8,-10.8,0.0,0.0,94.0,104.0,0,1,,0.0,2,0,97,94,1,0,9.85,2.3,-7.55,0.5,9.85,0.5,9.85,0.5,0.1,6.0,-4.9,-0.08,6.45,-1,1
2015-16,2015-10-30,BKN,SAS,0,2,2,100.5,115.6,-15.1,99.5,0.0,0.42,11.0,32.0,0.24,0.48,53.6,48.7,11.1,10.0,-15.1,-15.1,0.0,0.0,100.0,115.0,0,1,,0.0,2,0,104.3,110.2,-5.9,101.6,0.0,0.51,11.6,17.1,0.12,0.54,44.4,48.9,10.8,13.4,-5.9,-5.9,0.0,0.0,106.0,112.0,0,1,0.0,,2,0,75,102,0,0,-9.2,-3.8,5.4,0.0,-9.2,0.0,-9.2,0.0,-0.09,-0.6,14.9,0.12,-2.1,0,0
2015-16,2015-10-30,BOS,TOR,1,2,2,111.5,94.5,17.0,100.5,1.0,0.51,14.9,23.8,0.31,0.58,47.1,79.5,10.0,11.5,17.0,17.0,1.0,1.0,112.0,95.0,1,0,1.0,,2,0,101.8,95.1,6.7,104.1,1.0,0.49,17.8,22.0,0.34,0.55,55.6,52.8,7.7,3.2,6.7,6.7,1.0,1.0,106.0,99.0,1,0,,0.0,2,0,103,113,0,0,10.3,9.7,-0.6,0.0,10.3,0.0,10.3,0.0,0.02,-2.9,1.8,-0.03,-3.6,0,0
2015-16,2015-10-30,CHI,DET,0,3,3,106.3,97.75,8.55,99.75,1.0,0.55,15.25,14.95,0.2,0.58,47.45,41.35,7.5,9.5,8.55,8.55,1.0,1.0,106.0,97.5,2,0,,1.0,2,0,106.25,97.2,9.05,93.05,1.0,0.45,12.1,30.05,0.27,0.5,56.35,57.75,3.7,5.9,9.05,9.05,1.0,1.0,99.0,90.5,2,0,1.0,,2,0,94,98,0,1,-0.5,0.05,0.55,0.0,-0.5,0.0,-0.5,0.0,0.1,3.15,-15.1,-0.07,6.7,0,0
2015-16,2015-10-30,CLE,MIA,1,3,2,102.9,88.2,14.7,97.85,0.5,0.51,13.5,25.45,0.12,0.52,54.45,69.55,6.15,6.65,14.7,14.7,0.5,0.5,100.5,86.5,1,0,0.0,,2,0,112.6,101.8,10.8,92.3,1.0,0.57,13.6,5.9,0.27,0.63,48.8,63.9,5.4,11.7,10.8,10.8,1.0,1.0,104.0,94.0,1,0,,0.0,2,0,102,92,1,0,3.9,-9.7,-13.6,-0.5,3.9,-0.5,3.9,-0.5,-0.06,-0.1,19.55,-0.15,5.55,0,0
2015-16,2015-10-30,DEN,MIN,1,2,2,107.6,87.1,20.5,97.5,1.0,0.59,19.5,23.7,0.15,0.6,52.7,65.0,9.2,19.2,20.5,20.5,1.0,1.0,105.0,85.0,1,0,0.0,,2,0,111.3,110.3,1.0,100.6,1.0,0.49,7.5,14.3,0.37,0.56,44.8,63.2,3.0,7.1,1.0,1.0,1.0,1.0,112.0,111.0,1,0,,1.0,2,0,78,95,0,0,19.5,-3.7,-23.2,0.0,19.5,0.0,19.5,0.0,0.1,12.0,9.4,-0.22,-3.1,0,0
2015-16,2015-10-30,GSW,HOU,0,2,2,110.3,94.4,15.9,100.6,1.0,0.47,15.9,45.7,0.21,0.52,62.9,70.7,8.0,10.8,15.9,15.9,1.0,1.0,111.0,95.0,1,0,,0.0,3,0,87.1,107.6,-20.5,97.5,0.0,0.39,14.7,27.3,0.2,0.43,47.3,56.7,13.3,15.4,-20.5,-20.5,0.0,0.0,85.0,105.0,0,1,0.0,,2,0,112,92,1,0,36.4,23.2,-13.2,1.0,36.4,1.0,36.4,1.0,0.08,1.2,18.4,0.01,3.1,1,1
